Irrep, Oh, Lg, \alpha/\pi, \beta/\pi, \gamma/\pi, row, col, matrix element
A1g, E, E, 0, 0, 0, 1, 1, 1.
A1g, C2x, C2x, 0, 1, 1, 1, 1, 1.
A1g, C2y, C2y, 0, 1, 0, 1, 1, 1.
A1g, C2z, C2z, 0, 0, 1, 1, 1, 1.
A1g, C31+, C31+, 0, 0.5, 0.5, 1, 1, 1.
A1g, C32+, C32+, 1, 0.5, -0.5, 1, 1, 1.
A1g, C33+, C33+, 1, 0.5, 0.5, 1, 1, 1.
A1g, C34+, C34+, 0, 0.5, -0.5, 1, 1, 1.
A1g, C31-, C31-, 0.5, 0.5, 1, 1, 1, 1.
A1g, C32-, C32-, -0.5, 0.5, 0, 1, 1, 1.
A1g, C33-, C33-, 0.5, 0.5, 0, 1, 1, 1.
A1g, C34-, C34-, -0.5, 0.5, 1, 1, 1, 1.
A1g, C4x+, C4x+, -0.5, 0.5, 0.5, 1, 1, 1.
A1g, C4y+, C4y+, 0, 0.5, 0, 1, 1, 1.
A1g, C4z+, C4z+, 0, 0, 0.5, 1, 1, 1.
A1g, C4x-, C4x-, 0.5, 0.5, -0.5, 1, 1, 1.
A1g, C4y-, C4y-, 1, 0.5, 1, 1, 1, 1.
A1g, C4z-, C4z-, 0, 0, -0.5, 1, 1, 1.
A1g, C2a`, C2a`, 0, 1, 0.5, 1, 1, 1.
A1g, C2b`, C2b`, 0, 1, -0.5, 1, 1, 1.
A1g, C2c`, C2c`, 0, 0.5, 1, 1, 1, 1.
A1g, C2d`, C2d`, 0.5, 0.5, 0.5, 1, 1, 1.
A1g, C2e`, C2e`, 1, 0.5, 0, 1, 1, 1.
A1g, C2f`, C2f`, -0.5, 0.5, -0.5, 1, 1, 1.
A1g, i, i, 0, 0, 0, 1, 1, 1.
A1g, sigma_x, sigma_x, 0, 1, 1, 1, 1, 1.
A1g, sigma_y, sigma_y, 0, 1, 0, 1, 1, 1.
A1g, sigma_z, sigma_z, 0, 0, 1, 1, 1, 1.
A1g, S61-, S61-, 0, 0.5, 0.5, 1, 1, 1.
A1g, S62-, S62-, 1, 0.5, -0.5, 1, 1, 1.
A1g, S63-, S63-, 1, 0.5, 0.5, 1, 1, 1.
A1g, S64-, S64-, 0, 0.5, -0.5, 1, 1, 1.
A1g, S61+, S61+, 0.5, 0.5, 1, 1, 1, 1.
A1g, S62+, S62+, -0.5, 0.5, 0, 1, 1, 1.
A1g, S63+, S63+, 0.5, 0.5, 0, 1, 1, 1.
A1g, S64+, S64+, -0.5, 0.5, 1, 1, 1, 1.
A1g, S4x-, S4x-, -0.5, 0.5, 0.5, 1, 1, 1.
A1g, S4y-, S4y-, 0, 0.5, 0, 1, 1, 1.
A1g, S4z-, S4z-, 0, 0, 0.5, 1, 1, 1.
A1g, S4x+, S4x+, 0.5, 0.5, -0.5, 1, 1, 1.
A1g, S4y+, S4y+, 1, 0.5, 1, 1, 1, 1.
A1g, S4z+, S4z+, 0, 0, -0.5, 1, 1, 1.
A1g, sigma_d1, sigma_d1, 0, 1, 0.5, 1, 1, 1.
A1g, sigma_d2, sigma_d2, 0, 1, -0.5, 1, 1, 1.
A1g, sigma_d3, sigma_d3, 0, 0.5, 1, 1, 1, 1.
A1g, sigma_d4, sigma_d4, 0.5, 0.5, 0.5, 1, 1, 1.
A1g, sigma_d5, sigma_d5, 1, 0.5, 0, 1, 1, 1.
A1g, sigma_d6, sigma_d6, -0.5, 0.5, -0.5, 1, 1, 1.
A2g, E, E, 0, 0, 0, 1, 1, 1.
A2g, C2x, C2x, 0, 1, 1, 1, 1, 1.
A2g, C2y, C2y, 0, 1, 0, 1, 1, 1.
A2g, C2z, C2z, 0, 0, 1, 1, 1, 1.
A2g, C31+, C31+, 0, 0.5, 0.5, 1, 1, 1.
A2g, C32+, C32+, 1, 0.5, -0.5, 1, 1, 1.
A2g, C33+, C33+, 1, 0.5, 0.5, 1, 1, 1.
A2g, C34+, C34+, 0, 0.5, -0.5, 1, 1, 1.
A2g, C31-, C31-, 0.5, 0.5, 1, 1, 1, 1.
A2g, C32-, C32-, -0.5, 0.5, 0, 1, 1, 1.
A2g, C33-, C33-, 0.5, 0.5, 0, 1, 1, 1.
A2g, C34-, C34-, -0.5, 0.5, 1, 1, 1, 1.
A2g, C4x+, C4x+, -0.5, 0.5, 0.5, 1, 1, -1.
A2g, C4y+, C4y+, 0, 0.5, 0, 1, 1, -1.
